time (ms),x (m/s^2),y (m/s^2),z (m/s^2),B (Raw)
354699,0.91,1.39,-9.42,509
355723,0.88,1.35,-9.58,509
356747,0.91,1.35,-9.62,509
357772,0.99,1.35,-9.66,509
358796,0.95,1.32,-9.62,509
359820,0.91,1.32,-9.66,509
360844,0.95,1.35,-9.66,509
361875,0.88,1.39,-9.62,509
362899,0.91,1.35,-9.62,509
363923,0.91,1.32,-9.66,509
364959,0.91,1.32,-9.62,509
365983,0.91,1.32,-9.54,509
367008,0.91,1.35,-9.62,509
368048,0.95,1.35,-9.54,509
369072,0.91,1.39,-9.62,509
370097,0.95,1.32,-9.66,509
371121,0.95,1.32,-9.58,509
372145,0.88,1.32,-9.62,509
373169,0.95,1.32,-9.54,509
374205,0.84,1.43,-6.37,509
375229,-2.15,11.23,-7.61,509
376253,0.80,1.73,-9.69,509
377278,0.80,1.39,-9.69,509
378302,0.76,1.47,-9.69,509
379326,0.76,1.24,-9.62,509
380350,0.76,1.43,-9.69,509
381380,0.76,1.35,-9.69,509
382404,0.76,1.43,-9.69,509
383429,0.76,1.35,-9.81,509
384453,0.76,1.39,-9.73,509
385477,0.80,1.35,-9.69,509
386501,0.76,1.43,-9.77,509
387526,0.73,1.39,-9.73,509
388550,0.76,1.43,-9.73,509
389574,0.76,1.50,-9.97,509
390598,0.80,1.43,-9.69,509
391622,0.76,1.35,-9.73,509
392646,0.80,1.39,-9.69,509
393671,0.80,1.39,-9.73,509
394695,0.73,1.43,-9.81,509
395719,0.76,1.35,-9.66,509
396743,0.73,1.35,-9.69,509
397768,0.76,1.35,-9.73,509
398792,0.80,1.39,-9.73,509
399822,0.76,1.39,-9.66,509
400846,0.76,1.35,-9.66,509
401870,0.76,1.39,-9.69,509
402894,0.80,1.32,-9.69,509
403918,0.76,1.39,-9.69,509
404943,0.76,1.39,-9.69,509
405967,0.80,1.43,-9.77,509
406991,0.76,1.39,-9.66,509
408015,0.73,1.39,-9.73,509
409039,0.80,1.39,-9.73,509
410064,0.76,1.47,-9.58,509
411088,0.76,1.43,-9.73,509
412112,0.80,1.39,-9.66,509
413136,0.73,1.39,-9.69,509
414160,0.80,1.43,-9.69,509
415185,0.76,1.43,-9.73,509
416209,0.80,1.32,-9.62,509
417233,0.76,1.43,-9.73,509
418264,0.76,1.39,-9.73,509
419288,0.76,1.39,-9.62,509
420325,0.80,1.39,-9.66,509
421349,0.76,1.43,-9.62,509
422373,0.80,1.39,-9.69,509
423397,0.76,1.39,-9.69,509
424421,0.80,1.43,-9.77,509
425446,0.80,1.43,-9.69,509
426470,0.73,1.39,-9.62,509
427494,0.73,1.43,-9.69,509
428518,0.76,1.43,-9.66,509
429542,0.76,1.43,-9.69,509
430566,0.76,1.43,-9.66,509
431591,0.84,1.35,-9.69,509
432615,0.76,1.43,-9.66,509
433639,0.76,1.39,-9.62,509
434663,0.76,1.35,-9.66,509
435687,0.73,1.43,-9.69,509
436718,0.80,1.43,-9.66,509
437742,0.76,1.43,-9.69,509
438766,0.76,1.39,-9.66,509
439790,0.76,1.43,-9.66,509
440814,0.80,1.39,-9.69,509
441838,0.76,1.43,-9.69,509
442863,0.80,1.39,-9.73,509
443887,0.80,1.43,-9.66,509
444926,0.76,1.43,-9.58,509
445950,0.76,1.39,-9.62,509
446976,0.76,1.43,-9.66,509
448000,0.73,1.43,-9.66,509
449036,0.80,1.39,-9.46,509
450060,0.76,1.43,-9.62,509
451095,0.76,1.43,-9.69,509
452119,0.73,1.47,-9.66,509
