time (ms),x (m/s^2),y (m/s^2),z (m/s^2),B (Raw)
6156641,-0.02,-0.94,-7.18,507
6157668,2.45,-0.34,-10.24,507
6158695,-0.09,0.04,-7.88,507
6159722,-0.92,-0.41,-9.69,507
6160749,1.25,1.17,-11.78,507
6161776,3.64,2.33,-11.86,507
6162803,4.28,-0.04,-13.37,507
6163830,5.02,-0.41,-11.09,507
6164857,3.87,1.47,-10.47,507
6165891,2.26,1.35,-10.97,507
6166918,1.96,0.94,-9.73,507
6167945,2.67,-0.98,-10.93,507
6168972,0.17,-1.84,-10.55,507
6169999,-0.95,0.19,-11.63,507
6171026,-0.09,1.47,-12.87,507
6172053,1.33,0.15,-10.70,507
6173079,0.17,-0.45,-10.66,507
6174106,-0.54,-0.75,-6.17,507
6175133,3.75,0.90,-9.85,507
6176160,3.90,0.15,-10.43,507
6177187,-1.81,-0.26,-9.93,507
6178214,-3.08,-0.26,-10.59,507
6179241,-3.83,-0.75,-9.58,507
6180269,0.35,-0.52,-11.05,507
6181309,2.41,0.60,-12.09,507
6182342,3.72,0.83,-12.60,507
6183369,1.55,-0.37,-12.09,507
6184396,3.34,1.05,-12.25,507
6185423,2.15,0.04,-11.05,507
6186450,-0.77,-2.37,-10.97,507
6187478,2.78,1.09,-13.87,507
6188505,2.33,3.76,-13.49,507
6189532,0.84,0.04,-13.68,507
6190559,0.58,-3.45,-8.19,507
6191585,3.68,-0.04,-12.56,507
6192612,0.84,4.25,-15.07,507
6193652,-1.33,-0.86,-11.09,507
6194679,-0.02,-2.21,-13.22,507
6195706,-0.28,1.17,-12.98,507
6196733,-1.70,1.99,-12.06,507
6197761,-3.31,-1.31,-10.28,507
6198788,2.03,-1.39,-12.02,507
6199821,2.33,1.20,-13.53,507
6200848,1.89,1.77,-12.75,507
6201875,-0.69,-1.58,-9.89,507
6202902,-1.44,-1.20,-11.36,507
6203929,0.91,1.32,-12.33,507
6204956,2.89,1.84,-15.93,507
6205983,3.38,-2.03,-11.71,507
6207010,1.70,0.87,-13.06,507
6208037,1.89,1.95,-12.60,507
6209064,2.03,0.49,-12.98,507
6210092,0.09,-0.67,-10.31,507
6211119,-0.13,0.15,-11.24,507
6212145,2.71,1.77,-13.29,507
6213172,2.89,0.53,-12.37,507
6214199,0.17,-0.30,-12.60,507
6215226,-1.37,-0.52,-10.08,507
6216253,-3.08,-0.67,-12.13,507
6217287,0.17,0.04,-10.51,507
6218313,2.97,1.02,-12.87,507
6219340,-0.84,0.19,-12.71,507
6220367,-0.39,-0.30,-11.98,507
6221394,1.51,0.79,-11.13,507
6222422,4.73,1.47,-10.93,507
6223449,-2.45,-0.04,-10.97,507
6224476,-2.82,-0.41,-12.29,507
6225503,-0.39,1.17,-12.60,507
6226545,2.52,0.15,-10.51,507
6227572,4.87,1.35,-14.65,507
6228599,3.34,0.83,-14.96,507
6229626,2.11,-0.22,-13.49,507
6230653,1.74,-0.82,-11.67,507
6231681,-1.10,1.05,-9.58,507
6232719,0.76,2.22,-12.13,507
6233752,1.59,-0.30,-10.93,507
6234779,-1.81,-1.76,-9.19,507
6235806,-0.28,-0.07,-10.47,507
6236833,0.20,1.54,-12.83,507
6237860,1.77,0.94,-12.17,507
6238887,3.27,0.56,-12.64,507
6239915,1.33,0.60,-11.48,507
6240942,-1.93,-0.94,-7.14,507
6241969,-0.92,0.26,-10.12,507
6242996,0.13,0.11,-10.39,507
6244022,-1.59,0.08,-10.39,507
6245049,2.97,0.90,-13.45,507
6246076,4.91,0.75,-13.29,507
6247103,3.64,0.41,-9.15,507
6248130,1.66,0.00,-9.81,507
6249157,0.43,0.56,-11.20,507
6250184,0.13,0.56,-10.16,507
6251217,1.29,0.41,-12.25,507
6252244,4.16,0.56,-13.33,507
6253272,3.90,0.90,-15.35,507
6254299,2.07,1.62,-13.41,507
6255326,2.60,1.20,-12.25,507
6256352,-0.80,-0.98,-10.55,507
6257379,0.13,-0.26,-9.77,507
6258406,4.80,2.59,-11.75,507
6259433,3.12,0.72,-10.59,507
6260460,-0.58,0.04,-10.66,507
6261487,-0.36,1.20,-10.74,507
6262514,-0.99,1.13,-10.93,507
6263541,0.99,0.26,-10.47,507
6264568,-0.09,-0.15,-10.66,507
6265609,0.76,1.65,-12.09,507
6266636,2.63,0.72,-11.94,507
6267675,0.24,-1.91,-8.57,507
6268708,0.24,0.79,-9.54,507
6269735,1.89,1.80,-11.17,507
6270763,2.56,2.29,-11.44,507
6271789,1.10,-1.35,-12.56,507
6272816,1.51,-1.46,-11.28,507
6273843,-0.69,3.72,-12.37,507
6274870,-0.17,-0.26,-11.40,507
6275897,1.51,-3.91,-11.20,507
6276924,2.03,2.71,-13.53,507
6277951,-1.10,3.16,-10.93,507
6278978,3.27,1.43,-12.09,507
6280005,4.31,-0.60,-12.83,507
6281032,0.58,1.80,-13.33,507
6282059,-1.63,0.87,-9.58,507
6283086,-0.09,0.26,-9.66,507
6284113,0.20,0.83,-10.55,507
6285140,-0.73,0.04,-11.51,507
6286174,0.76,0.60,-12.13,507
6287200,2.41,-0.15,-10.04,507
6288227,1.18,-0.79,-10.31,507
6289254,-0.32,0.49,-10.86,507
6290281,0.28,1.17,-10.97,507
6291308,1.62,0.75,-12.37,507
6292335,-1.07,-0.82,-11.67,507
6293362,2.45,2.07,-11.67,507
6294389,-1.51,1.28,-10.39,507
6295416,1.29,1.24,-11.55,507
6296443,1.55,-1.43,-12.71,507
6297470,0.50,1.88,-13.45,507
6298498,-0.84,1.32,-7.76,507
6299524,2.15,1.28,-11.55,507
6300551,2.03,0.23,-13.84,507
6301578,4.13,0.83,-14.53,507
6302605,2.56,0.94,-11.17,507
6303653,-0.80,-0.52,-8.65,507
6304680,-0.73,-0.94,-12.29,507
6305708,1.18,0.04,-11.71,507
6306735,1.06,1.47,-9.19,507
6307762,0.13,1.24,-11.32,507
6308801,-0.73,-0.26,-12.48,507
6309828,1.96,1.02,-13.02,507
6310855,3.94,0.90,-11.09,507
6311882,1.44,-0.19,-11.71,507
6312909,0.80,-0.11,-8.80,507
6313936,1.44,2.26,-11.40,507
6314963,1.03,2.33,-12.33,507
6315990,1.36,-0.64,-9.77,507
6317017,-1.25,-2.89,-9.85,507
6318044,-0.09,1.32,-10.62,507
6319071,2.26,2.71,-11.28,507
6320098,3.72,2.18,-13.80,507
6321131,1.81,-2.18,-12.83,507
6322158,2.56,0.04,-10.93,507
6323185,-2.52,-0.15,-9.42,507
6324212,-1.33,0.64,-12.09,507
6325239,4.05,-0.71,-12.17,507
6326266,2.86,0.04,-11.01,507
6327293,-2.19,0.83,-10.62,507
6328321,0.09,1.35,-10.47,507
6329347,1.89,0.56,-12.67,507
6330374,2.56,0.90,-13.45,507
6331401,2.89,-0.26,-13.10,507
6332428,1.06,-0.45,-9.85,507
6333455,0.50,0.79,-10.82,507
6334482,1.74,0.00,-13.26,507
6335509,0.91,-3.57,-11.78,507
6336536,2.93,1.95,-11.98,507
6337569,4.35,4.66,-13.91,507
6338596,0.05,-1.61,-8.80,507
6339622,-0.17,-2.97,-9.19,507
6340663,2.30,0.79,-11.98,507
6341690,-1.03,2.74,-12.09,507
6342717,-1.18,0.98,-13.18,507
6343744,1.89,-0.71,-11.01,507
6344771,0.91,-0.41,-11.63,507
6345798,0.73,1.39,-10.97,507
6346825,2.97,0.79,-12.83,507
6347852,2.15,-1.20,-10.59,507
6348879,-1.29,-0.49,-11.01,507
6349919,-0.21,0.49,-10.24,507
6350946,1.55,0.53,-10.39,507
6351973,2.67,-0.75,-12.33,507
6353000,1.85,0.04,-11.40,507
6354027,-0.32,-1.39,-9.27,507
6355060,-1.78,-1.54,-11.09,507
6356087,-0.58,-0.34,-12.21,507
6357114,1.25,-0.26,-11.32,507
6358141,0.50,-0.94,-11.67,507
6359169,-0.36,-1.01,-13.53,507
6360195,0.99,1.32,-11.01,507
6361222,0.17,1.02,-11.94,507
6362249,-0.88,0.04,-11.13,507
6363276,-0.09,-0.56,-10.51,507
6364303,1.77,0.11,-12.02,507
6365330,2.33,0.53,-11.90,507
6366357,0.99,-0.15,-12.25,507
6367384,3.27,1.20,-11.44,507
6368410,1.21,0.08,-10.47,507
6369437,-3.38,-1.28,-9.54,507
6370464,0.62,0.41,-11.86,507
6371491,5.14,2.29,-15.31,507
6372525,3.31,0.56,-13.29,507
6373552,0.99,-1.31,-8.42,507
6374579,0.73,-0.37,-9.73,507
6375606,2.52,0.90,-11.98,507
6376633,2.37,0.11,-12.29,507
6377660,-2.30,-0.64,-10.00,507
6378687,0.76,-0.41,-11.51,507
6379714,1.55,0.53,-11.51,507
6380756,0.62,0.94,-12.09,507
6381783,1.40,-0.07,-10.78,507
6382810,1.89,1.09,-12.87,507
6383837,1.25,0.45,-11.05,507
6384864,-1.03,0.11,-9.93,507
6385903,1.10,0.15,-8.15,507
6386930,4.43,0.83,-12.64,507
6387957,0.13,-0.64,-8.69,507
6388984,-2.04,0.98,-11.59,507
6390018,2.48,-0.34,-9.89,507
6391044,2.86,-1.35,-8.88,507
6392071,-4.13,-1.39,-8.80,507
6393098,1.21,1.05,-10.66,507
6394125,3.01,2.11,-12.48,507
6395152,-1.25,-2.21,-9.46,507
6396179,-0.69,-1.80,-9.97,507
6397206,1.36,1.05,-12.02,507
6398233,1.21,1.84,-10.66,507
6399260,1.74,1.17,-12.64,507
6400287,1.85,0.34,-12.56,507
6401314,-1.59,-3.04,-10.47,507
6402341,-0.66,-0.26,-9.77,507
6403367,1.92,2.93,-11.24,507
6404395,3.31,1.58,-10.97,507
6405422,2.00,-0.94,-12.48,507
6406449,2.48,-0.41,-10.78,507
6407482,3.16,1.99,-13.10,507
6408509,0.24,-0.30,-11.01,507
6409536,-0.39,-0.26,-9.81,507
6410563,1.18,0.00,-11.13,507
6411590,2.03,0.87,-13.87,507
6412616,0.24,-0.37,-12.71,507
6413643,-0.09,0.60,-10.04,507
6414684,1.14,1.02,-11.44,507
6415711,-1.70,0.60,-9.62,507
6416738,-1.07,0.11,-12.21,507
6417765,2.33,0.15,-12.56,507
6418792,3.16,0.11,-10.28,507
6419819,3.23,0.15,-12.21,507
6420846,1.74,0.08,-11.71,507
6421872,1.44,0.15,-10.31,507
6422899,1.14,0.08,-10.93,507
6423932,2.48,0.90,-12.60,507
6424960,2.89,0.60,-12.56,507
6425987,2.45,0.45,-13.84,507
6427014,1.74,0.98,-10.93,507
6428041,3.83,-0.11,-12.02,507
6429067,-1.55,-0.22,-10.08,507
6430094,0.65,1.54,-13.18,507
6431121,4.05,1.47,-11.05,507
6432148,-3.57,-0.71,-10.43,507
6433175,0.28,0.87,-10.12,507
6434214,2.60,-0.64,-11.32,507
6435240,1.55,-0.52,-12.06,507
6436268,2.63,0.38,-11.48,507
6437295,0.50,2.41,-10.93,507
6438322,0.13,-0.75,-11.05,507
6439349,0.88,0.08,-9.77,507
6440376,0.43,0.83,-13.41,507
6441408,1.18,-0.71,-8.57,507
6442434,-0.02,-0.37,-10.66,507
6443461,-0.47,0.94,-10.43,507
6444488,0.88,1.09,-10.89,507
6445515,2.07,0.04,-11.90,507
6446542,1.36,-0.26,-12.40,507
6447569,-0.32,-0.15,-9.93,507
6448596,0.84,0.08,-11.40,507
6449623,2.33,0.72,-10.28,507
6450650,0.88,1.17,-11.75,507
6451677,1.74,-0.37,-11.94,507
6452704,2.82,0.00,-12.29,507
6453731,0.28,0.56,-8.88,507
6454758,-1.18,0.68,-10.43,507
6455785,1.77,1.62,-11.86,507
6456812,1.06,-0.56,-10.97,507
6457853,-0.80,-0.26,-8.46,507
6458886,2.56,1.54,-10.86,507
6459912,0.43,-0.82,-11.40,507
6460939,1.10,0.11,-10.86,507
6461966,3.83,2.44,-12.33,507
6463004,3.04,-0.26,-13.18,507
6464031,2.48,-1.61,-10.82,507
6465058,1.96,0.56,-10.97,507
6466084,0.69,2.41,-12.29,507
6467111,1.70,0.30,-11.98,507
6468139,0.80,-1.65,-9.69,507
6469166,-1.40,-0.64,-10.28,507
6470193,0.88,0.90,-10.70,507
6471220,2.18,0.75,-10.39,507
6472246,0.95,-0.30,-10.86,507
6473273,-0.43,-0.79,-11.20,507
6474300,-0.13,0.08,-11.05,507
6475327,-0.39,0.34,-11.71,507
6476360,0.20,-1.88,-8.80,507
6477387,2.63,0.08,-11.28,507
6478414,1.51,0.64,-13.72,507
6479441,0.20,0.11,-9.62,507
6480468,0.76,-0.71,-9.85,507
6481496,-0.09,-1.20,-12.44,507
6482523,0.09,1.05,-11.28,507
6483550,1.77,2.48,-9.23,507
6484577,0.39,2.63,-11.20,507
6485604,0.20,-2.06,-11.40,507
6486631,0.91,-5.52,-9.42,507
6487658,1.66,-0.30,-12.02,507
6488685,0.99,3.31,-10.89,507
6489724,0.24,1.77,-9.46,507
6490752,-0.09,-1.46,-8.92,507
6491779,4.05,-1.54,-9.89,507
6492806,2.45,1.20,-11.63,507
6493839,1.47,2.37,-12.52,507
6494866,3.08,0.83,-11.90,506
6495893,0.17,-1.28,-10.12,507
6496920,-2.22,-1.13,-10.35,507
6497947,1.40,0.94,-11.17,507
6498974,2.78,0.68,-12.52,507
6500001,-0.77,0.08,-10.43,507
6501028,0.80,1.05,-9.81,507
6502055,2.33,0.19,-10.12,507
6503083,-1.55,-2.33,-8.84,507
6504110,-0.80,-3.30,-9.42,507
6505137,3.72,0.90,-11.44,507
6506164,1.81,4.36,-11.90,507
6507191,0.17,3.34,-11.40,507
6508218,0.84,-0.34,-11.86,507
6509245,0.17,-1.20,-11.01,507
6510273,3.98,-0.67,-11.94,507
6511306,3.49,1.47,-12.21,507
6512332,0.73,1.02,-11.90,507
6513359,0.09,-0.11,-9.46,507
6514386,0.09,0.08,-9.93,507
6515414,2.71,0.94,-13.45,506
6516441,2.37,0.45,-12.33,507
6517468,-0.77,-0.60,-10.93,507
6518508,-0.21,-0.52,-10.86,507
6519535,1.77,-0.45,-9.35,507
6520562,1.77,0.68,-10.97,507
6521589,0.13,0.45,-11.36,507
6522616,-0.17,1.05,-11.78,507
6523643,1.10,-0.86,-10.28,507
6524670,1.70,-0.26,-11.75,507
6525699,2.15,1.13,-11.36,507
6526726,1.70,3.08,-11.48,507
6527759,1.10,1.95,-11.28,507
6528786,0.32,-1.50,-11.28,507
6529813,2.30,-2.03,-10.66,507
6530840,0.88,0.34,-10.78,507
6531867,0.17,2.44,-12.64,507
6532894,-0.99,1.54,-10.59,507
6533921,0.80,0.04,-10.43,507
6534965,-0.09,-2.29,-9.97,507
6535992,0.91,-0.82,-11.01,507
6537019,3.83,1.09,-11.78,507
6538046,1.77,0.94,-11.94,507
6539073,-1.70,-0.34,-9.15,507
6540112,2.56,-0.60,-10.93,507
6541139,2.30,-0.52,-11.98,507
6542168,0.88,0.26,-9.50,507
6543195,1.03,0.08,-9.00,507
6544222,1.29,0.08,-10.62,507
6545255,-0.32,-1.20,-9.50,507
6546281,-0.32,-0.41,-11.09,507
6547309,-0.47,0.08,-9.66,507
6548335,1.85,0.08,-10.78,507
6549363,2.00,0.53,-11.28,507
6550390,-0.17,-0.11,-12.06,507
6551417,-1.22,0.00,-10.93,507
6552444,1.29,-0.11,-10.12,507
6553472,1.44,-0.22,-11.75,507
6554499,0.09,-0.11,-9.93,507
6555526,-0.36,-1.24,-9.39,507
6556553,0.02,-0.67,-9.11,507
6557580,2.97,1.28,-11.82,507
6558607,1.44,1.58,-11.67,507
6559634,0.28,0.23,-12.37,507
6560661,0.20,-2.29,-9.00,507
6561688,0.73,-1.95,-9.66,507
6562735,2.86,1.05,-11.09,507
6563762,2.41,2.63,-12.56,507
6564789,1.21,-1.54,-9.93,506
6565815,1.59,-0.82,-10.51,507
6566843,0.73,0.08,-10.43,507
6567870,-0.13,1.02,-12.60,507
6568897,0.35,0.90,-9.93,507
6569923,1.85,-0.56,-10.70,507
6570951,0.95,-0.07,-10.78,507
6571978,-0.43,0.00,-10.00,507
6573005,2.78,1.62,-11.44,507
6574032,3.57,0.15,-10.59,507
6575059,-2.34,-0.94,-7.72,507
6576087,0.80,-0.64,-10.16,506
6577114,2.48,0.60,-8.77,506
6578141,-0.28,0.08,-8.53,507
6579168,1.70,1.73,-11.01,507
6580200,1.36,0.45,-10.82,507
6581227,0.91,-0.34,-9.23,507
6582254,-0.36,0.60,-10.16,507
6583281,0.28,1.43,-11.24,507
6584308,1.03,1.88,-11.13,507
6585335,2.82,0.15,-12.56,506
6586362,1.70,-2.48,-10.55,507
6587389,1.18,1.32,-8.92,507
6588417,-1.40,2.74,-9.42,507
6589444,0.62,1.69,-9.93,507
6590471,1.85,-1.09,-11.75,507
6591499,2.00,-1.73,-11.71,507
6592526,1.77,1.73,-12.48,507
6593553,-1.89,1.69,-11.28,507
6594580,-0.77,-0.07,-11.40,507
6595607,2.41,-1.76,-12.06,507
6596634,1.89,-0.94,-10.59,507
6597667,-1.22,1.62,-11.28,507
6598694,0.24,0.64,-9.69,507
6599721,0.65,-0.04,-11.55,507
6600749,1.59,0.04,-12.87,507
6601776,1.44,0.75,-13.10,507
6602814,1.51,-0.52,-12.09,507
6603841,1.36,-0.56,-10.86,506
6604868,0.62,0.38,-9.54,507
6605895,0.69,1.05,-10.89,507
6606922,0.62,0.56,-11.51,507
6607949,-0.58,-0.22,-10.12,507
6608976,-1.89,-0.19,-9.77,506
6610003,1.25,-0.49,-11.32,507
6611031,2.63,-0.67,-12.40,507
6612075,2.48,0.79,-12.29,506
6613102,0.65,2.44,-11.75,507
6614129,0.24,0.56,-9.89,506
6615162,0.20,-0.41,-9.23,507
6616202,0.17,0.04,-10.82,507
6617228,0.76,1.17,-10.93,507
6618255,2.26,0.04,-11.63,507
6619282,4.58,0.00,-12.79,507
6620309,4.54,1.02,-12.09,507
6621336,2.41,-0.56,-11.13,506
6622363,1.33,-0.71,-8.42,507
6623390,0.95,1.92,-11.51,507
6624417,0.35,-0.15,-12.29,507
6625444,0.24,-2.03,-10.43,507
6626471,1.62,0.26,-10.89,506
6627499,0.09,1.73,-9.81,507
6628526,0.32,0.72,-10.39,507
6629553,0.09,-1.58,-10.82,506
6630580,1.14,-0.11,-10.86,506
6631607,1.81,1.62,-11.01,507
6632640,-2.64,1.62,-9.31,507
6633667,2.60,0.75,-12.37,507
6634694,2.93,-0.45,-11.01,507
6635721,0.80,-0.19,-9.93,507
6636761,1.21,0.19,-9.39,507
6637788,0.69,1.39,-10.86,506
6638815,0.13,1.43,-10.20,506
6639842,-0.39,-0.79,-9.42,507
6640869,0.84,-1.58,-9.15,507
6641896,2.22,-0.79,-9.66,506
6642923,-0.17,0.08,-9.15,506
6643950,0.17,1.54,-11.78,506
6644977,1.33,1.20,-11.24,507
6646004,0.02,-0.49,-10.00,507
6647031,-0.28,-0.19,-11.05,507
6648058,0.28,0.68,-11.13,507
6649085,1.10,0.26,-12.13,507
6650119,0.39,0.60,-11.13,507
6651146,1.47,0.56,-12.13,506
6652173,-0.39,0.08,-11.20,507
6653200,0.17,0.04,-11.86,507
6654227,2.03,0.26,-11.01,507
6655254,1.18,0.08,-10.39,507
6656281,0.76,0.90,-10.70,506
6657308,1.62,1.95,-9.93,507
6658335,0.39,2.03,-10.70,507
6659362,-1.18,-0.98,-10.00,507
6660389,0.20,-0.52,-10.62,506
6661416,1.36,2.44,-12.17,506
6662444,0.80,1.35,-8.65,506
6663471,1.25,0.64,-10.31,507
6664498,0.50,-1.61,-10.78,506
6665525,-0.73,-1.24,-10.20,507
6666558,-1.37,0.56,-11.36,507
6667585,-1.18,0.98,-10.78,507
6668612,0.28,0.04,-10.82,507
6669639,2.56,-0.45,-12.33,506
6670666,-0.09,-1.84,-10.97,506
6671693,-0.95,-1.50,-9.15,507
6672720,0.73,0.04,-8.07,506
6673747,2.03,1.35,-10.12,507
6674775,0.80,0.15,-9.93,507
6675802,1.06,0.04,-10.74,506
6676829,0.76,-0.49,-12.09,507
6677856,-0.24,-0.98,-12.13,507
6678883,0.91,0.04,-10.97,507
6679910,0.80,0.08,-10.97,507
6680936,0.20,-0.75,-10.39,507
6681963,1.51,0.34,-11.40,507
6682990,3.64,0.08,-11.94,506
6684023,2.67,-0.49,-10.47,507
6685050,-1.22,0.68,-10.28,506
6686078,0.13,1.62,-11.28,506
6687118,1.21,-1.61,-12.25,506
6688145,1.21,-1.54,-10.89,506
6689186,1.70,0.53,-11.82,507
6690213,3.23,2.52,-13.29,507
6691240,1.66,0.08,-11.51,506
6692268,1.47,-0.56,-8.19,507
6693307,1.70,-0.26,-10.93,506
6694334,-0.84,-0.71,-11.24,507
6695361,0.02,0.04,-11.13,506
6696388,2.63,1.05,-11.55,506
6697415,-0.28,1.35,-11.17,507
6698442,1.18,-0.94,-11.55,506
6699469,2.15,-0.49,-8.80,506
6700496,0.99,1.39,-12.95,507
6701530,0.32,1.99,-11.71,506
6702557,1.06,1.32,-11.05,507
6703584,0.84,-0.75,-8.50,507
6704611,0.65,-0.45,-9.15,506
6705638,-0.02,0.11,-10.35,507
6706665,-0.13,1.09,-11.13,507
6707692,0.17,1.39,-12.09,507
6708719,1.55,-0.34,-11.40,507
6709746,1.81,-1.05,-11.20,507
6710787,0.24,-0.22,-10.59,507
6711814,1.81,0.64,-10.00,506
6712841,0.05,1.28,-8.80,506
6713868,0.02,-1.46,-9.66,506
6714895,0.09,-1.99,-8.50,506
6715921,2.11,-1.24,-11.40,507
6716948,4.02,1.24,-13.10,507
6717975,2.97,1.50,-12.75,506
6719008,-1.59,-0.37,-11.01,506
6720035,0.09,-0.30,-10.43,506
6721062,2.63,0.30,-12.44,506
6722089,-0.73,-1.35,-10.78,507
6723117,-0.28,-0.49,-11.36,506
6724144,0.09,-0.75,-10.82,506
6725171,1.21,-0.79,-10.12,506
6726198,2.41,0.64,-11.59,506
6727225,-0.73,0.72,-11.59,507
6728252,-1.66,0.64,-11.01,506
6729279,2.41,0.08,-10.31,506
6730306,-0.80,-1.28,-9.35,506
6731333,-2.22,-1.01,-9.54,506
6732360,1.21,0.87,-10.66,506
6733387,2.60,2.14,-11.40,506
6734414,1.81,1.47,-11.55,506
6735441,-1.22,-2.29,-9.04,506
6736476,0.24,-1.20,-9.66,507
6737502,2.00,1.62,-11.44,506
6738529,0.13,1.80,-10.97,506
6739556,-1.22,-1.76,-9.85,506
6740583,-0.09,-1.99,-9.19,506
6741610,2.37,0.00,-12.13,506
6742637,1.89,1.50,-11.59,506
6743664,1.70,1.62,-10.31,506
6744691,0.91,-0.34,-10.08,507
6745718,-0.51,-1.16,-10.51,506
6746745,-1.74,0.75,-12.09,507
6747772,0.88,1.77,-12.56,506
6748800,2.37,0.87,-11.24,506
6749827,0.76,-0.82,-9.04,506
6750854,1.21,-0.34,-9.58,506
6751881,1.29,1.17,-12.13,506
6752925,1.03,0.64,-12.52,506
6753951,0.13,-0.37,-11.09,507
6754978,-0.28,-0.71,-8.38,506
6756005,1.81,-0.67,-11.44,506
6757032,1.51,0.45,-10.59,506
6758060,0.13,-0.04,-11.13,506
6759087,0.50,1.54,-11.78,506
6760114,0.47,2.37,-10.97,506
6761141,1.62,1.24,-11.82,506
6762168,1.62,-1.91,-12.44,506
6763195,1.06,0.04,-11.51,506
6764222,-0.84,0.98,-8.88,507
6765249,0.91,0.98,-9.85,507
6766292,0.02,0.11,-9.19,506
6767320,3.34,1.13,-11.98,507
6768347,0.88,0.15,-11.82,506
6769374,2.26,1.73,-12.09,506
6770418,2.56,0.34,-10.93,506
6771459,-0.92,-0.64,-9.46,506
6772486,0.54,-0.34,-11.98,506
6773513,2.60,0.98,-11.67,506
6774540,1.18,-0.34,-10.55,506
6775567,1.77,-0.52,-11.67,506
6776593,1.40,1.20,-13.02,506
6777620,1.21,1.09,-11.78,506
6778647,-1.33,-0.75,-9.39,506
6779674,-0.39,-1.13,-8.46,506
6780701,2.37,-0.45,-10.35,506
6781728,2.74,1.13,-11.09,506
6782755,1.33,0.75,-12.25,506
6783812,0.17,-1.31,-10.04,506
6784839,0.09,-0.98,-10.82,506
6785866,1.55,-0.19,-11.78,506
6786893,1.92,0.79,-12.87,506
6787927,0.47,1.32,-12.25,506
6788954,-1.40,-0.11,-9.89,506
6789981,2.00,-1.35,-9.77,506
6791008,-0.77,-0.30,-10.55,506
6792035,-1.66,0.15,-11.09,506
6793062,-0.58,0.08,-10.59,506
6794089,2.78,0.75,-11.86,506
6795116,0.58,-0.15,-9.93,506
6796143,-0.06,-0.30,-9.85,506
6797170,4.20,0.00,-12.02,506
6798197,1.14,-0.34,-10.04,506
6799223,-1.33,0.08,-10.04,506
6800250,0.88,0.98,-9.89,506
6801277,0.91,0.15,-10.16,506
6802305,-0.84,-0.22,-11.01,506
6803332,1.03,-0.90,-12.29,506
6804359,2.15,-0.98,-10.89,506
6805404,1.44,0.68,-11.05,506
6806430,0.02,1.02,-9.73,506
6807457,2.03,0.68,-11.32,506
6808484,2.45,0.45,-11.63,506
6809511,0.17,-0.26,-10.66,506
6810539,0.13,-0.07,-9.23,506
6811566,2.07,-0.34,-11.40,506
6812593,2.41,-0.64,-11.75,506
6813620,-0.43,-1.13,-9.42,506
6814647,0.39,0.49,-10.24,506
6815674,1.89,0.04,-10.31,506
6816701,1.89,0.08,-11.09,506
6817727,2.45,0.98,-11.98,506
6818754,2.33,0.64,-12.09,506
6819781,1.40,-0.45,-11.05,506
6820808,-1.44,-0.86,-8.77,506
6821835,2.22,1.02,-9.23,506
6822868,3.68,1.80,-11.94,506
6823896,-1.59,0.68,-10.93,506
6824923,0.17,0.30,-12.37,506
6825950,2.60,-0.15,-13.26,506
6826977,-0.28,-1.35,-9.00,506
6828004,0.99,-0.07,-10.28,507
6829031,2.00,2.26,-12.25,507
6830058,0.17,0.08,-11.05,506
6831084,0.32,-1.01,-10.97,506
6832111,1.77,1.24,-11.09,506
6833138,-1.33,1.65,-9.77,506
6834165,0.05,1.20,-9.85,506
6835192,-0.28,-1.80,-10.39,506
6836219,-0.09,-0.86,-8.96,506
6837246,0.69,1.47,-11.05,506
6838274,2.60,1.80,-12.52,507
6839301,1.51,0.98,-12.21,506
6840334,0.65,-0.60,-8.96,506
6841361,0.80,-1.69,-8.34,507
6842388,-0.84,-0.56,-10.16,506
6843431,4.46,2.63,-13.45,506
6844459,-1.85,1.43,-9.35,507
6845486,-1.07,0.08,-8.07,506
6846513,4.61,-0.52,-11.78,506
6847552,-0.92,-1.39,-10.43,506
6848579,2.33,-0.07,-10.93,507
6849606,1.51,0.00,-10.93,506
6850633,0.17,1.69,-13.33,506
6851660,1.44,0.98,-12.29,506
6852687,0.76,-0.30,-10.97,506
6853714,0.13,-0.82,-9.89,506
6854742,1.03,0.15,-10.93,506
6855794,1.14,0.98,-9.85,506
6856827,0.39,0.15,-8.65,506
6857853,-0.54,-0.67,-11.36,506
6858881,0.17,0.49,-10.89,506
6859908,2.60,1.62,-12.67,506
6860935,0.88,0.72,-11.90,506
6861962,-0.24,-0.52,-10.31,506
6862989,1.40,0.53,-10.82,506
6864016,0.17,0.00,-9.73,506
6865043,0.13,0.68,-10.28,506
6866070,2.67,1.54,-11.55,506
6867097,2.45,-0.52,-12.33,506
6868124,1.21,-2.67,-8.69,506
6869150,2.26,-0.30,-9.46,506
6870177,0.35,1.39,-10.89,506
6871204,0.39,1.24,-11.75,506
6872231,-0.58,-0.60,-7.26,506
6873259,0.17,-0.67,-9.97,506
6874292,1.66,0.08,-11.32,506
6875319,0.62,0.60,-10.16,506
6876346,0.95,1.02,-9.04,506
6877373,1.33,0.38,-10.62,506
6878399,2.11,0.79,-11.40,506
6879426,0.95,0.04,-10.51,506
6880453,0.09,2.52,-10.93,506
6881480,1.03,1.92,-10.66,506
6882507,0.47,-0.64,-9.50,507
6883534,-0.32,-1.43,-10.12,506
6884561,2.63,0.23,-11.63,506
6885588,1.77,1.92,-12.29,506
